User,Id,Target,Screen_Id,Parent,Grant,,,,,,,,,,,,,,,,,,,,
user,1,module,analytics,null,Read,,,,,,,,,,,,,,,,,,,,
user,2,component,analytics-overview-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
user,3,component,document-processing-time-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
user,4,module,action-logs,null,No,,,,,,,,,,,,,,,,,,,,
user,5,component,action-logs-comp,action-logs,No,,,,,,,,,,,,,,,,,,,,
user,6,module,account-management,null,Read,,,,,,,,,,,,,,,,,,,,
user,7,component,account-management-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,8,component,activation-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,9,component,delighted-survey-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,10,component,forgot-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,11,component,login-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,12,component,reset-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
user,13,module,customer-onboarding,null,No,,,,,,,,,,,,,,,,,,,,
user,14,component,customer-onboarding-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,15,component,add-user-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,16,component,create-customer-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,17,component,customize-playbook-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,18,component,onboarding-confirmation-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,19,component,select-subscription-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
user,20,module,dashboard,null,Read,,,,,,,,,,,,,,,,,,,,
user,21,component,dashboard-comp,dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,22,module,home-comp,null,Read,,,,,,,,,,,,,,,,,,,,
user,23,component,change-password-comp,home,Write,,,,,,,,,,,,,,,,,,,,
user,24,component,edit-profile-comp,home,Write,,,,,,,,,,,,,,,,,,,,
